,product,brand,price ($),life_stage,special_diet,review_num,review_star,ingredients,protein,fat,fiber,moisture,
312,Royal Canin Feline Care Nutrition Oral Care Adult Dry Cat Food,Royal Canin,19.79,Adult,normal,128,4.6,"Chicken Meal, Corn, Brewers Rice, Chicken Fat, Wheat Gluten, Pea Fiber, Natural Flavors, Wheat, Corn Gluten Meal, Rice Hulls, Dried Plain Beet Pulp, Calcium Sulfate, Fish Oil, Vegetable Oil, Salt, Potassium Chloride, Sodium Pyrophosphate, Fructooligosaccharides, DL-Methionine, Choline Chloride, Vitamins [DL-Alpha Tocopherol Acetate (source of Vitamin E), L-Ascorbyl-2-Polyphosphate (source of Vitamin C), Biotin, Niacin Supplement, Pyridoxine Hydrochloride (Vitamin B6), D-Calcium Pantothenate, Riboflavin Supplement, Vitamin A Acetate, Thiamine Mononitrate (Vitamin B1), Folic Acid, Vitamin B12 Supplement, Vitamin D3 Supplement], Psyllium Seed Husk, Sodium Tripolyphosphate, Potassium Phosphate, Trace Minerals [Zinc Proteinate, Zinc Oxide, Ferrous Sulfate, Manganese Proteinate, Manganous Oxide, Copper Sulfate, Calcium Iodate, Sodium Selenite, Copper Proteinate], Taurine, Rosemary Extract, Preserved with Mixed Tocopherols and Citric Acid.",28.00%,13.00%,6.70%,10.50%,
313,"SPORTMiX Wholesomes Chicken Meal & Rice Formula Adult Dry Cat Food, 15-lb bag",SPORTMiX,16.99,Adult,"No Corn No Wheat No Soy, Low-Protein, Pea-Free",77,3.8,"Chicken Meal, Brown Rice, Rice Flour, Chicken Fat (Preserved with Mixed Tocopherols), Menhaden Fish Meal, Natural Flavors, Dried Egg Product, Choline Chloride, Salt, Brewer's Dried Yeast, Potassium Chloride, Dl-Methionine, L-Lysine, Taurine, L-Carnitine, Calcium Sulfate, Vitamin A Supplement, Vitamin D3 Supplement, Vitamin E Supplement, Zinc Sulfate, Ferrous Sulfate, Niacin, Calcium Pantothenate, Riboflavin Supplement, Copper Sulfate, Pyridoxine Hydrochloride, Thiamine Mononitrate, Manganese Sulfate, Zinc Proteinate, Manganese Proteinate, Copper Proteinate, Calcium Iodate, Cobalt Carbonate, Folic Acid, Sodium Selenite, Biotin, Vitamin B12 Supplement.",32.00%,14.00%,3.00%,10.00%,
314,"Solid Gold Let's Stay In Salmon, Lentil & Apple Recipe Adult Grain-Free Indoor Dry Cat Food",Solid Gold,34.99,Adult,"Indoor, Gluten Free, Grain-Free, No Corn No Wheat No Soy, Weight Control, High-Protein, GMO-Free",57,4.4,"Salmon, Salmon Meal, Lentils, Peas, Turkey Meal, Pea Protein, Pea Fiber, Chicken Fat (Preserved with Mixed Tocopherols), Apples, Ground Flaxseed, Natural Flavor, Ocean Fish Meal, Dried Eggs, Carrots, Potassium Chloride, Choline Chloride, Pumpkin, Calcium Sulfate, Blueberries, Cranberries, Salmon Oil (Preserved with Mixed Tocopherols), Taurine, Vitamins (Vitamin E Supplement, L-Ascorbyl-2-Polyphosphate (Source of Vitamin C), Niacin, Calcium Pantothenate, Riboflavin, Pyridoxine Hydrochloride, Thiamine Mononitrate, Vitamin A Supplement, Vitamin B12 Supplement, Vitamin D3 Supplement, Biotin, Folic Acid), Minerals (Zinc Sulfate, Ferrous Sulfate, Copper Sulfate, Manganese Sulfate, Zinc Proteinate, Manganese Proteinate, Copper Proteinate, Sodium Selenite, Calcium Iodate), Dried Chicory Root, Rosemary Extract, Dried Lactobacillus Acidophilus Fermentation Product, Dried Enterococcus Faecium Fermentation Product, Dried Lactobacillus Casei Fermentation Product.",36.00%,16.00%,8.00%,10.00%,
315,"Farmina Natural & Delicious Lamb & Ancestral Low-Grain Formula Dry Cat Food, 3.3-lb bag",Farmina,14.95,Adult,"Low Glycemic, Pea-Free, Non-GMO, Natural, GMO-Free",49,4.6,"Lamb Meat, Dehydrated Lamb Meat (Source of Glucosamine & Chondroitin Sulfate), Whole Spelt, Whole Oats, Chicken Fat (Preserved with Mixed Tocopherols), Dehydrated Egg Product, Herring (Source of Glucosamine & Chondroitin Sulfate), Dehydrated Herring (Source of Glucosamine & Chondroitin Sulfate), Herring & Salmon Oil Blend (Preserved with Mixed Tocopherols), Concentrated Chicken Protein, Dried Beet Pulp, Dried Carrots, Sun-Cured Alfalfa Meal, Chicory Root Extract, Fructooligosaccharide, Yeast Extract (Source of Mannan-Oligosaccharides), Dehydrated Blueberry, Dehydrated Sweet Orange Dehydrated Apple, Dehydrated Pomegranate, Dehydrated Spinach, Psyllium Seed Husk, Dehydrated Blackcurrant Berry, Salt, Brewers Dried Yeast, Turmeric, Vitamin A Supplement, Vitamin D3 Supplement, Vitamin E Supplement, Ascorbic Acid, Niacin, Calcium Pantothenate, Riboflavin, Pyridoxine Hydrochloride, Thiamine Mononitrate, Biotin, Folic Acid, Vitamin B12 Supplement, Choline Chloride, Beta-Carotene, Zinc Proteinate, Manganese Proteinate, Iron Proteinate, Copper Proteinate, Selenium Yeast, Dl-Methionine, Taurine, L-Carnitine, Aloe Vera Gel Concentrate, Green Tea Extract, Rosemary Extract.",36.00%,20.00%,1.90%,8.00%,
316,Instinct Original Grain-Free Recipe with Real Salmon Freeze-Dried Raw Coated Dry Cat Food,Instinct,19.99,Adult,"Grain-Free, Gluten Free, No Corn No Wheat No Soy, Natural, High-Protein",75,4.4,"Salmon, Menhaden Fish Meal, White Fish Meal (Pacific Whiting, Pacific Sole, Pacific Rockfish), Peas, Herring Meal, Canola Oil (preserved with Mixed Tocopherols and Citric Acid), Tapioca, Salmon Meal, Natural Flavor, Suncured Alfalfa Meal, Salt, Montmorillonite Clay, Carrots, Apples, Cranberries, Vitamins (L-Ascorbyl-2-Polyphosphate, Vitamin E Supplement, Menadione Sodium Bisulfite Complex, Niacin Supplement, Vitamin A Supplement, Thiamine Mononitrate, d-Calcium Pantothenate, Riboflavin Supplement, Pyridoxine Hydrochloride, Vitamin B12 Supplement, Folic Acid, Vitamin D3 Supplement, Biotin), Minerals (Zinc Proteinate, Iron Proteinate, Copper Proteinate, Manganese Proteinate, Sodium Selenite, Ethylenediamine Dihydriodide), Choline Chloride, Taurine, Freeze Dried Cod, Dried Bacillus coagulans Fermentation Product, Rosemary Extract.",42.00%,18.00%,3.00%,9.00%,
317,Natural Balance Indoor Ultra Chicken Meal & Salmon Meal Formula Dry Cat Food,Natural Balance,39.78,Adult,Indoor,59,4.8,"Chicken, Chicken Meal, Brown Rice, Oat Groats, Salmon Meal, Oat Hulls, Chicken Fat (Preserved with Mixed Tocopherols And Lactic Acid),  Natural Flavor, Pea Fiber, Dehydrated Alfalfa Meal, Dried Egg, Dried Potato Products, Potato Protein, Brewers Dried Yeast, 
Flaxseed, Menhaden Fish Oil (Preserved with Mixed Tocopherols), Salt, Potassium Chloride, Spinach,
Parsley, Carrots, Inulin, Choline Chloride, Taurine, Minerals (Zinc Proteinate, Zinc Sulfate, Ferrous Sulfate, 
Iron Proteinate, Copper Sulfate, Copper Proteinate, Manganese Sulfate, Manganese Proteinate, Calcium Iodate, Sodium Selenite)
Dl-Methionine, Vitamins (Vitamin E Supplement, Niacin, Thiamine Mononitrate, D-Calcium Pantothenate, Vitamin A Supplement, Pyridoxine Hydrochloride, Riboflavin Supplement, Vitamin D3 Supplement, Vitamin B12 Supplement, Folic Acid, Biotin), L-Carnitine, Dried Kelp, L-Lysine Monohydrochloride, Cranberries, Yucca Schidigera Extract, Citric Acid (Preservative), Rosemary Extract.  .",30.00%,14.00%,8.00%,10.00%,
318,Blue Buffalo True Solutions Blissful Belly Digestive Care Formula Dry Cat Food,Blue Buffalo,18.49,Adult,normal,29,4.2,"Deboned Chicken, Chicken Meal, Brown Rice, Pea Protein, Barley, Dried Egg Product, Oatmeal, Chicken Fat (preserved with Mixed Tocopherols), Potato Starch, Dried Plain Beet Pulp, Flaxseed (source of Omega 3 Fatty Acids), Natural Flavor, Dried Tomato Pomace, Peas, Calcium Chloride, Choline Chloride, DL-Methionine, Calcium Sulfate, L-Threonine, Calcium Carbonate, Canola Oil (source of Omega 6 Fatty Acids), Potassium Chloride, Potatoes, Hydrolyzed Yeast, Fructooligosaccharides, Potassium Sulfate, Taurine, Dehydrated Alfalfa Meal, Pea Fiber, Alfalfa Nutrient Concentrate, Salt, Vitamin E Supplement, preserved with Mixed Tocopherols, L-Ascorbyl-2-Polyphosphate (source of Vitamin C), L-Tryptophan, Vegetable Juice for color, Ferrous Sulfate, Niacin (Vitamin B3), Iron Amino Acid Chelate, Zinc Amino Acid Chelate, Zinc Sulfate, Blueberries, Cranberries, Barley Grass, Parsley, Turmeric, Dried Kelp, Yucca Schidigera Extract, Copper Sulfate, Thiamine Mononitrate (Vitamin B1), Copper Amino Acid Chelate, Biotin (Vitamin B7), L-Lysine, Vitamin A Supplement, Manganese Sulfate, Manganese Amino Acid Chelate, Pyridoxine Hydrochloride (Vitamin B6), Calcium Pantothenate (Vitamin B5), Riboflavin (Vitamin B2), Dried Yeast, Dried Enterococcus faecium fermentation product, Dried Lactobacillus acidophilus fermentation product, Dried Aspergillus niger fermentation extract, Dried Trichoderma longibrachiatum fermentation extract, Dried Bacillus subtilis fermentation extract, Vitamin D3 Supplement, Vitamin B12 Supplement, Folic Acid (Vitamin B9), Calcium Iodate, Sodium Selenite, Oil of Rosemary.",34%,16%,4%,9%,
319,Purina Pro Plan Kitten Chicken & Egg Formula Grain-Free Kitten Food,Purina Pro Plan,20.98,Kitten,"Grain-Free, No Corn No Wheat No Soy, High-Protein",60,4.7,"New: Chicken, Pea Protein, Chicken Meal, Cassava Root Flour, Dried Egg Product, Beef Fat Preserved With Mixed-tocopherols, Potato Protein, Pea Starch, Dried Yeast, Canola Meal, Natural Flavor, Sodium Caseinate, Fish Oil, Salt, L-lysine Monohydrochloride, Calcium Carbonate, Dl-methionine, Potassium Chloride, Phosphoric Acid, Vitamins [Vitamin E Supplement, Niacin (Vitamin B-3), Vitamin A Supplement, Calcium Pantothenate (Vitamin B-5), Thiamine Mononitrate (Vitamin B-1), Riboflavin Supplement (Vitamin B-2), Vitamin B-12 Supplement, Pyridoxine Hydrochloride (Vitamin B-6), Folic Acid (Vitamin B-9), Vitamin D-3 Supplement, Biotin (Vitamin B-7), Menadione Sodium Bisulfite Complex (Vitamin K)], Taurine, Minerals [Zinc Sulfate, Ferrous Sulfate, Manganese Sulfate, Copper Sulfate, Calcium Iodate, Sodium Selenite], Choline Chloride, Dried Bacillus Coagulans Fermentation Product. B464519.",42.00%,19.00%,2.50%,12.00%,
320,Pro Pac Ultimates Savanna Pride Chicken Grain-Free Indoor Dry Cat Food,Pro Pac,28.99,Adult,"Indoor, Grain-Free",64,4.4,"Chicken Meal, Peas, Chicken Fat (Preserved with Mixed Tocopherols), Chickpeas, Tapioca, Dried Beet Pulp, Whitefish Meal, Powdered Cellulose, Pea Protein, Natural Flavors, Flaxseed, Dried Egg Product, Apples, Blueberries, Carrots, Spinach, Cranberries, Potassium Chloride, Choline Chloride, Taurine, Dl-Methionine, L-Lysine, Calcium Sulfate, Beta-Carotene, L-Carnitine, Vitamin A Supplement, Vitamin D3 Supplement, Vitamin E Supplement, Zinc Sulfate, Niacin, Ferrous Sulfate, L-Ascorbyl-2-Polyphosphate (Source of Vitamin C), Calcium Pantothenate, Thiamine Mononitrate, Copper Sulfate, Riboflavin Supplement, Pyridoxine Hydrochloride, Manganese Sulfate, Zinc Proteinate, Folic Acid, Calcium Iodate, Manganese Proteinate, Copper Proteinate, Biotin, Sodium Selenite, Cobalt Carbonate, Vitamin B12 Supplement, Yucca Schidigera Extract, Rosemary Extract.",34.00%,15.00%,6.00%,10.00%,
321,"Royal Canin Feline Breed Nutrition Persian Kitten Dry Cat Food, 3-lb bag",Royal Canin,20.69,Kitten,normal,42,4.9,"Chicken By-Product Meal, Brewers Rice, Chicken Fat, Corn, Wheat Gluten, Natural Flavors, Pea Fiber, Grain Distillers Dried Yeast, Dried Plain Beet Pulp, Fish Oil, Vegetable Oil, Sodium Silico Aluminate, Sodium Pyrophosphate, Vitamins [Dl-Alpha Tocopherol Acetate (Source Of Vitamin E), Niacin Supplement, L-Ascorbyl-2-Polyphosphate (Source Of Vitamin C), D-Calcium Pantothenate, Biotin, Pyridoxine Hydrochloride (Vitamin B6), Riboflavin Supplement, Thiamine Mononitrate (Vitamin B1), Vitamin A Acetate, Folic Acid, Vitamin B12 Supplement, Vitamin D3 Supplement], Potassium Chloride, Salt, Calcium Carbonate, Fructooligosaccharides, Choline Chloride, Hydrolyzed Yeast (Source Of Betaglucans), Trace Minerals [Zinc Proteinate, Zinc Oxide, Ferrous Sulfate, Manganous Oxide, Manganese Proteinate, Copper Sulfate, Calcium Iodate, Sodium Selenite, Copper Proteinate], Dl-Methionine, Taurine, Psyllium Seed Husk, Marigold Extract (Tagetes Erecta L.), L-Lysine, Magnesium Oxide, Carotene, Rosemary Extract, Preserved With Mixed Tocopherols And Citric Acid.",30.10%,20.00%,4.60%,8.00%,
322,"Farmina Natural & Delicious Lamb Grain-Free Formula Dry Cat Food, 3.3-lb bag",Farmina,22.3,Adult,"Low Glycemic, Grain-Free, Gluten Free, Pea-Free, Non-GMO, GMO-Free, Natural",87,4.7,"Lamb Meat, Dehydrated Lamb Meat (Source of Glucosamine & Chondroitin Sulfate), Potato, Chicken Fat (Preserved with Mixed Tocopherols), Dehydrated Egg Product, Herring (Source of Glucosamine & Chondroitin Sulfate), Dehydrated Herring (Source of Glucosamine & Chondroitin Sulfate), Herring & Salmon Oil Blend (Preserved with Mixed Tocopherols), Chicken Protein Concentrate, Dried Carrots, Sun-Cured Alfalfa Meal, Chicory Root Extract, Fructooligosaccharide, Yeast Extract (Source of Mannan-Oligosaccharides), Dehydrated Blueberry, Dehydrated Sweet Orange, Dehydrated Pomegranate, Dehydrated Apple, Dehydrated Spinach, Psyllium Seed Husk, Dehydrated Blackcurrant Berry, Salt, Brewers Dried Yeast, Turmeric, Vitamin A Supplement, Vitamin D3 Supplement, Vitamin E Supplement, Ascorbic Acid, Niacin, Calcium Pantothenate, Riboflavin, Pyridoxine Hydrochloride, Thiamine Mononitrate, Biotin, Folic Acid, Vitamin B12 Supplement, Choline Chloride, Beta-Carotene, Zinc Proteinate, Manganese Proteinate, Iron Proteinate, Copper Proteinate, Selenium Yeast, Dl-Methionine, Taurine, L-Carnitine, Aloe Vera Gel Concentrate, Green Tea Extract, Rosemary Extract.",42.00%,20.00%,1.80%,10.00%,
323,Tiki Cat Born Carnivore Chicken & Egg Grain-Free Dry Cat Food,Tiki Cat,44.99,Adult,"High-Protein, Grain-Free, No Corn No Wheat No Soy, GMO-Free, Natural",82,4.3,"New: Deboned Chicken, Chicken Meal, Dehydrated Chicken, Dried Egg Product, Tapioca, Natural Chicken Flavor, Ground Whole Flaxseed, Chickpeas, Peas, Chicken Fat (Preserved With Mixed Tocopherols And Citric Acid), Brewers Dried Yeast, Calcium Sulfate, Choline Chloride, Inulin (Prebiotic), Salmon Oil, Pumpkin, Taurine, Ferrous Sulfate, Zinc Sulfate, Vitamin E Supplement, Niacin Supplement (Vitamin B3), Copper Sulfate, Vitamin A Supplement, Manganese Sulfate, Thiamine Mononitrate (Vitamin B1), D-Calcium Pantothenate, Pyridoxine Hydrochloride (Vitamin B6), Biotin, Riboflavin Supplement (Vitamin B2), Vitamin B12 Supplement, Vitamin D3 Supplement, Calcium Iodate, Folic Acid, Sodium Selenite, Rosemary Extract, Ascorbic Acid (Preservative), Citric Acid, Tannic Acid.",43.00%,19.00%,3.50%,10.00%,
324,Royal Canin Adult Fit & Active Dry Cat Food,Royal Canin,46.79,Adult,normal,56,4.6,"Chicken Meal, Corn, Corn Gluten Meal, Brown Rice, Wheat, Chicken Fat, Pea Fiber, Natural Flavors, Grain Distillers Dried Yeast, Dried Plain Beet Pulp, Vegetable Oil, Wheat Gluten, Fish Oil, Calcium Sulfate, Sodium Pyrophosphate, Psyllium Seed Husk, Sodium Bisulfate, Potassium Chloride, Choline Chloride, Hydrolyzed Yeast, Vitamins [DL-Alpha Tocopherol Acetate (source of Vitamin E), L-Ascorbyl-2-Polyphosphate (source of Vitamin C), Niacin Supplement, Biotin, Riboflavin Supplement, D-Calcium Pantothenate, Thiamine Mononitrate (Vitamin B1), Pyridoxine Hydrochloride (Vitamin B6), Vitamin A Acetate, Vitamin B12 Supplement, Folic Acid, Vitamin D3 Supplement], Salt, DL-Methionine, Taurine, Trace Minerals [Zinc Oxide, Ferrous Sulfate, Manganous Oxide, Copper Sulfate, Calcium Iodate, Sodium Selenite], Monosodium Phosphate, Marigold Extract (Tagetes Erecta L.), Rosemary Extract, Preserved With Mixed Tocopherols and Citric Acid.",32.00%,13.00%,5.80%,8.00%,
325,"Go! Solutions Carnivore Grain-Free Chicken, Turkey + Duck Recipe Dry Cat Food",Go!,59.99,Adult,"No Corn No Wheat No Soy, Grain-Free, Gluten Free, Natural",117,4.5,"Chicken Meal, De-Boned Chicken, De-Boned Turkey, Duck Meal, Turkey Meal, Salmon Meal, De-Boned Trout, Chicken Fat (Preserved With Mixed Tocopherols), Natural Fish Flavor, Peas, Potatoes, Whole Dried Egg, Potato Flour, Tapioca, De-Boned Salmon, De-Boned Duck, Salmon Oil, Pumpkin, Apples, Carrots, Bananas, Blueberries, Cranberries, Lentils, Broccoli, Cottage Cheese, Alfalfa, Sweet Potatoes, Blackberries, Squash, Papayas, Pomegranate, Phosphoric Acid, Sodium Chloride, Potassium Chloride, Dl-Methionine, Taurine, Choline Chloride, Dried Chicory Root, Dried Lactobacillus Acidophilus Fermentation Product, Dried Enterococcus Faecium Fermentation Product, Dried Aspergillus Oryzae Fermentation Extract, Dried Bacillus Subtilis Fermentation Extract, Vitamins (Vitamin A Supplement, Vitamin D3 Supplement, Vitamin E Supplement, Niacin, L-Ascorbyl-2-Polyphosphate (A Source Of Vitamin C), Thiamine Mononitrate, D-Calcium Pantothenate, Riboflavin, Pyridoxine Hydrochloride, Beta-Carotene, Folic Acid, Biotin, Vitamin B12 Supplement), Minerals (Zinc Proteinate, Iron Proteinate, Copper Proteinate, Zinc Oxide, Manganese Proteinate, Copper Sulphate, Calcium Iodate, Ferrous Sulphate, Manganous Oxide, Sodium Selenite), Yucca Schidigera Extract, Dried Rosemary.",46.00%,18.00%,1.50%,10.00%,
326,Farmina N&D Ocean Herring & Orange Adult Grain-Free Dry Cat Food,Farmina,22.45,Adult,"Low Glycemic, Grain-Free, Gluten Free, Non-GMO, GMO-Free, Natural",105,4.6,"Herring, Dehydrated Herring, Sweet Potatoes, Herring Oil, Dried Whole Eggs, Pea Fiber, Dried Carrots, Sun-Cured Alfalfa Meal, Inulin, Fructooligosaccharides, Yeast Extract, Dried Sweet Orange, Dried Pomegranate, Dried Apple, Dried Spinach, Psyllium, Dried Blueberry, Salt, Brewers Dried Yeast, Turmeric, Glucosamine, Chondroitin Sulfate, Vitamin A Supplement, Vitamin D3 Supplement, Vitamin E Supplement, Ascorbic Acid, Niacin, Calcium Pantothenate, Riboflavin, Pyridoxine Hydrochloride, Thiamine Mononitrate, Biotin, Folic Acid, Vitamin B12 Supplement, Choline Chloride, Beta-Carotene, Zinc Methionine Hydroxy Analogue Chelate, Manganese Methionine Hydroxy Analogue Chelate, Ferrous Glycine, Copper Methionine Hydroxy Analogue Chelate, Dl-Methionine, Taurine, Aloe Vera Extract, Green Tea Extract, Rosemary Extract, Mixed Tocopherols (A Natural Preservative).",44.00%,20.00%,1.80%,8.00%,
327,Meow Mix Bistro Recipes Seared Tuna Flavor Dry Cat Food,Meow Mix,4.58,Adult,normal,46,4.3,"Whole Ground Corn, Chicken By-Product Meal, Soybean Meal, Corn Gluten Meal, Beef Tallow (preserved with Mixed Tocopherols), Tuna, Animal Digest, Calcium Carbonate, Phosphoric Acid, Titanium Dioxide (Color), L-Lysine Monohydrochloride, Choline Chloride, Salt, Caramel Color, Vitamins (Vitamin E Supplement, Niacin, Vitamin a Supplement, Thiamine Mononitrate, Riboflavin Supplement, D-Calcium Pantothenate, Pyridoxine Hydrochloride, Vitamin B12 Supplement, Menadione Sodium Bisulfite Complex (source of Vitamin K Activity), Vitamin D3 Supplement, Folic Acid, Biotin)., Minerals (Ferrous Sulfate, Zinc Oxide, Manganous Oxide, Copper Sulfate, Calcium Iodate, Sodium Selenite), Potassium Chloride, Taurine, Red 40, Yellow 5, Potassium Sorbate (used as a preservative), Natural Seared Flavor, Blue 2, Yellow 6, BHA (used as a preservative), Rosemary Extract.",31.00%,11.00%,4.00%,12.00%,
328,"Wellness Natural Hairball Control Chicken Meal & Rice Recipe Dry Cat Food, 6-lb bag",Wellness,21.89,Adult,No Corn No Wheat No Soy,42,4,"Chicken Meal, Brewers Rice, Deboned Chicken, Pea Fiber, Turkey Meal, Dried Tomato Pomace, Chicken Fat (preserved with Mixed Tocopherols), Ground Flaxseed, Natural Chicken Flavor, Inulin, Potassium Chloride, Choline Chloride, Taurine, Vitamin E Supplement, Cranberries, Zinc Proteinate, Mixed Tocopherols added to preserve freshness, Zinc Sulfate, Calcium Carbonate, Niacin, Ferrous Sulfate, Iron Proteinate, L-Carnitine, Vitamin A Supplement, Copper Sulfate, Thiamine Mononitrate, Copper Proteinate, Manganese Proteinate, Manganese Sulfate, d-Calcium Pantothenate, Sodium Selenite, Pyridoxine Hydrochloride,  Riboflavin, Dried Kelp, Yucca Schidigera Extract, Vitamin D3 Supplement, Biotin, Calcium Iodate, Vitamin B12 Supplement, Folic Acid, Ascorbic Acid (Vitamin C), Dried Lactobacillus plantarum Fermentation Product, Dried Enterococcus faecium Fermentation Product, Dried Lactobacillus casei Fermentation Product, Dried Lactobacillus acidophilus Fermentation Product, Rosemary Extract, Green Tea Extract, Spearmint Extract.",36.00%,16.00%,5.75%,10.00%,
329,"Purina Pro Plan Veterinary Diets DH Dental Health Formula Dry Cat Food, 6-lb bag",Purina Pro Plan Veterinary Diets,34.99,Adult,"Pea-Free, Veterinary Diet",31,4.6,"Ground Yellow Corn, Poultry By-Product Meal, Corn Gluten Meal, Animal Liver Flavor, Animal Fat Preserved With Mixed-Tocopherols, Powdered Cellulose, Fish Meal, Glycerin, Natural And Artificial Flavors, Calcium Carbonate, Potassium Chloride, Salt, Tetra Sodium Pyrophosphate, Brewers Dried Yeast, Choline Chloride, Vitamin E Supplement, Tricalcium Phosphate, Taurine, Zinc Sulfate, Ferrous Sulfate, Manganese Sulfate, Thiamine Mononitrate (Vitamin B-1), Niacin (Vitamin B-3), Vitamin A Supplement, Calcium Pantothenate (Vitamin B-5), Copper Sulfate, Riboflavin Supplement (Vitamin B-2), Vitamin B-12 Supplement, Pyridoxine Hydrochloride (Vitamin B-6), Folic Acid (Vitamin B-9), Vitamin D-3 Supplement, Calcium Iodate, Biotin (Vitamin B-7), Menadione Sodium Bisulfite Complex (Vitamin K), Sodium Selenite. B-2560.",34.00%,12.00%,6.00%,12.00%,
330,Nulo Freestyle Turkey & Duck Recipe Grain-Free Dry Cat & Kitten Food,Nulo,42.09,"Kitten, Adult","Grain-Free, Gluten Free, Low Glycemic, High-Protein",46,3.8,"Deboned Turkey, Turkey Meal, Menhaden Fish Meal, Deboned Cod, Yellow Peas, Red Lentils, Chicken Fat (Preserved with Mixed Tocopherols & Citric Acid), Deboned Duck, Sweet Potatoes, Chickpeas, Miscanthus Grass, Natural Flavor, Ground Flaxseed, Dried Chicory Root, Dried Kelp, Dried Cranberries, Calcium Carbonate, Dl Methionine, Taurine, Zinc Proteinate, Choline Chloride, Vitamin E Supplement, L-Ascorbyl-2-Polyphosphate (Source of Vitamin C), Iron Proteinate, Niacin Supplement, Copper Proteinate, Thiamine Mononitrate, Calcium Pantothenate, Vitamin A Supplement, Manganese Proteinate, Pyridoxine Hydrochloride, Sodium Selenite, Riboflavin Supplement, Dried Bacillus Coagulans Fermentation Product, Yucca Schidigera Extract, Vitamin B12 Supplement, Calcium Iodate, Folic Acid, Rosemary Extract.",40.00%,18.00%,4.00%,10.00%,
331,Solid Gold Indigo Moon High Protein Wild Alaskan Pollock & Eggs Recipe Grain-Free Dry Cat Food,Solid Gold,33.29,Adult,"Grain-Free, Gluten Free, No Corn No Wheat No Soy, High-Protein",30,4.4,"Ocean Fish Meal, Chicken Meal, Peas, Chicken Fat (Preserved with Mixed Tocopherols), Pollock, Potato Protein, Tapioca, Dried Eggs, Ground Flaxseed, Natural Flavor, Carrots, Pumpkin, Salmon Oil (Preserved with Mixed Tocopherols), Potassium Chloride, Vitamins (Vitamin E Supplement, L-Ascorbyl-2-Polyphosphate (Source of Vitamin C), Niacin, Calcium Pantothenate, Riboflavin, Pyridoxine Hydrochloride, Thiamine Mononitrate, Vitamin A Supplement, Vitamin B12 Supplement, Vitamin D3 Supplement, Biotin, Folic Acid), Taurine, Minerals (Zinc Sulfate, Ferrous Sulfate, Copper Sulfate, Manganese Sulfate, Zinc Proteinate, Manganese Proteinate, Copper Proteinate, Sodium Selenite, Calcium Iodate), Blueberries, Cranberries, Choline Chloride, Dried Chicory Root, Rosemary Extract, Dried Lactobacillus Acidophilus Fermentation Product, Dried Enterococcus Faecium Fermentation Product, Dried Lactobacillus Casei Fermentation Product.",42.00%,20.00%,3.00%,10.00%,
332,Merrick Purrfect Bistro Complete Care Grain- Free Sensitive Stomach Recipe Dry Cat Food,Merrick,36.99,Adult,"Grain-Free, Gluten Free, No Corn No Wheat No Soy, Sensitive Digestion",58,4.4,"Deboned Chicken, Chicken Meal, Turkey Meal, Sweet Potatoes, Potatoes, Dried Egg Product, Peas, Pea Protein, Chicken Fat (preserved with mixed tocopherols), Tapioca, Natural Flavor, Ground Flaxseed, Inulin (from chicory root), Phosphoric Acid, Dried Whey Protein Concentrate, Choline Chloride, Salt, Organic Dried Alfalfa Meal, Sunflower Oil, Salmon Oil, Taurine, Minerals (Iron Amino Acid Complex, Zinc Amino Acid Complex, Zinc Sulfate, Sodium Selenite, Manganese Amino Acid Complex, Copper Amino Acid Complex, Copper Sulfate, Potassium Iodide, Cobalt Proteinate, Cobalt Carbonate), Yucca Schidigera Extract, Vitamins (Vitamin E Supplement, Vitamin B12 Supplement, d-Calcium Pantothenate, Vitamin A Acetate, Thiamine Mononitrate, Niacin, Pyridoxine Hydrochloride, Riboflavin Supplement, Biotin, Vitamin D3 Supplement, Folic Acid), Dried Bacillus coagulans Fermentation Product, Dried Lactobacillus plantarum Fermentation Product, Dried Lactobacillus casei Fermentation Product, Dried Enterococcus faecium Fermentation Product, Dried Lactobacillus acidophilus Fermentation Product.",34.00%,16.00%,2.50%,11.00%,
333,Halo Holistic Wild Salmon & Whitefish Recipe Grain-Free Healthy Weight Indoor Cat Dry Cat Food,Halo,28.22,Adult,"Grain-Free, Weight Control, Indoor, GMO-Free",129,4.5,"Salmon, Whiteﬁsh, Dried Egg Product, Dried Peas, Dried Chickpeas, Soy Protein Concentrate, Dried Potatoes, Natural Flavor, Flaxseed, Pea Fiber, Potato Protein, Chicken Fat (Preserved with Mixed Tocopherols), Calcium Sulfate, Dicalcium Phosphate, Dried Bacillus Coagulans Fermentation Product, Dried Blueberries, Dried Cranberries, Dried Carrots, Dried Sweet Potatoes, Salt, Inulin, Vitamins (Vitamin E Supplement, Niacin Supplement, Thiamine Mononitrate, D-Calcium Pantothenate, Vitamin A Supplement, Pyridoxine Hydrochloride, Riboﬂavin Supplement, Vitamin D3 Supplement, Vitamin B12 Supplement, Folic Acid, Biotin), Potassium Chloride, Minerals (Zinc Proteinate, Iron Proteinate, Copper Proteinate, Manganese Proteinate, Sodium Selenite, Calcium Iodate), Taurine, Mixed Tocopherols (Preservative), L-Ascorbyl-2-Polyphosphate,L-Carnitine.",32.00%,13.00%,5.00%,10.00%,
